position,sentLenInTokens,numPunct,numPrecedingNP,numFollowingNP,followsPrepPhrase,fourPosTagsPrecedingFollowing,followedByVBG,followedByPrep,numFollowingAdj,followsVerb,followedByVerb,followedByAdj,followedByNPAdj,numTokensPrecedingFollowingInfinitiveVerb,numTokensUntilNextPrep,followedBySeqAdjNP,depRelType,nextFollowingVerbInWeather,nextFollowingVerbInCognition
4,16,4,1,1,false,ABS-PRON-VERB-ADP-VERB-VERB-NOUN-NOUN,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
14,18,2,4,1,false,PUNCT-ADP-PROPN-VERB-ADP-PRON-NOUN-PUNCT,false,true,0,true,false,false,false,0,0,false,dobj,false,false
3,21,1,1,6,false,ABS-ABS-PRON-VERB-ADP-VERB-DET-NOUN,false,true,1,true,false,false,false,0,0,false,dobj,false,false
19,21,3,4,0,false,ADV-PUNCT-PRON-VERB-ADV-PUNCT-ABS-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
11,21,2,2,1,false,PRON-NOUN-ADP-VERB-ADP-PUNCT-CONJ-VERB,false,true,0,true,false,false,false,0,0,false,dobj,false,false
7,13,2,1,1,false,ADV-VERB-PUNCT-CONJ-VERB-VERB-PRON-NOUN,false,false,0,false,true,false,false,0,0,false,nsubj,false,false
4,17,4,1,1,false,ABS-CONJ-PRON-VERB-ADP-ADV-CONJ-ADJ,false,true,1,true,false,false,false,0,0,false,dobj,false,false
6,7,2,1,0,false,DET-NOUN-PUNCT-VERB-PUNCT-ABS-ABS-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
3,9,2,1,1,false,ABS-ABS-PRON-VERB-PUNCT-CONJ-VERB-PRON,false,false,0,true,false,false,false,0,0,false,dobj,false,false
7,9,2,2,0,false,PRON-PUNCT-CONJ-VERB-ADV-PUNCT-ABS-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
14,40,7,3,7,false,DET-NOUN-PUNCT-CONJ-VERB-DET-ADJ-NOUN,false,false,1,false,true,false,false,0,5,false,nsubj,false,false
25,40,7,7,3,true,PUNCT-DET-NOUN-ADP-VERB-ADV-PUNCT-PRON,true,false,0,false,true,false,false,0,11,false,prep_of,false,false
29,40,7,8,2,false,PRON-VERB-ADV-PUNCT-VERB-ADV-PUNCT-CONJ,false,false,0,false,true,false,false,0,7,false,nsubj,false,false
12,17,2,3,1,false,NOUN-PUNCT-CONJ-VERB-ADP-PRON-ADP-VERB,false,false,0,true,false,false,false,2,0,false,dobj,false,false
1,20,2,0,5,false,ABS-ABS-ABS-ABS-VERB-DET-ADJ-NOUN,false,false,2,false,true,false,false,0,4,false,nsubj,false,false
10,31,4,2,7,false,DET-NOUN-ADP-VERB-PUNCT-CONJ-NOUN-CONJ,false,false,2,true,false,false,false,0,12,false,dobj,false,false
16,31,4,4,5,false,CONJ-NOUN-CONJ-VERB-ADJ-NOUN-PUNCT-DET,false,false,2,true,false,true,true,0,6,true,dobj,false,false
3,36,4,1,8,false,ABS-ABS-PRON-VERB-ADV-PUNCT-CONJ-ADV,false,false,2,true,false,false,false,0,10,false,dobj,false,false
27,28,2,6,0,true,ADP-ADP-VERB-ADP-PUNCT-ABS-ABS-ABS,false,false,0,false,false,false,false,0,0,false,prep_near,false,false
11,13,2,3,0,false,NOUN-PUNCT-CONJ-VERB-ADV-PUNCT-ABS-ABS,false,false,0,true,false,false,false,0,0,false,dobj,false,false
18,52,12,5,9,false,DET-NOUN-PUNCT-VERB-ADP-NOUN-PUNCT-CONJ,false,false,1,true,false,false,false,30,11,false,dobj,false,false
